2026-04-07 05:57:58 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000
2026-04-07 05:57:58 | INFO | apt_detection | Socket client connected.
2026-04-07 05:57:58 | INFO | apt_detection.runtime | Worker thread started.
2026-04-07 05:57:58 | INFO | apt_detection.runtime.capture | Capture loop started.
2026-04-07 05:57:58 | INFO | apt_detection.runtime | Capture thread started.
2026-04-07 05:58:02 | INFO | apt_detection | Socket client connected.
2026-04-07 05:58:57 | INFO | apt_detection | Socket client disconnected.
2026-04-07 06:04:52 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000, reset_on_start=True
2026-04-07 06:05:31 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000, reset_on_start=True
2026-04-07 06:05:37 | INFO | apt_detection | Socket client connected.
2026-04-07 06:05:37 | INFO | apt_detection.runtime | Worker thread started.
2026-04-07 06:05:37 | INFO | apt_detection.runtime.capture | Capture loop started.
2026-04-07 06:05:37 | INFO | apt_detection.runtime | Capture thread started.
2026-04-07 06:05:51 | INFO | apt_detection | Socket client connected.
2026-04-07 06:06:37 | INFO | apt_detection | Socket client disconnected.
2026-04-07 06:17:38 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000, reset_on_start=True
2026-04-07 06:18:02 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000, reset_on_start=True
2026-04-07 06:18:05 | INFO | apt_detection | Socket client connected.
2026-04-07 06:18:05 | INFO | apt_detection.runtime | Worker thread started.
2026-04-07 06:18:05 | INFO | apt_detection.runtime.capture | Capture loop started.
2026-04-07 06:18:05 | INFO | apt_detection.runtime | Capture thread started.
2026-04-07 06:18:50 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000, reset_on_start=True
2026-04-07 06:21:04 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000, reset_on_start=True
2026-04-07 06:21:25 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000, reset_on_start=True
2026-04-07 06:23:10 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000, reset_on_start=True
2026-04-07 06:24:37 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000, reset_on_start=True
2026-04-07 06:27:15 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000, reset_on_start=True
2026-04-07 06:27:18 | INFO | apt_detection | Socket client connected.
2026-04-07 06:27:18 | INFO | apt_detection.runtime | Worker thread started.
2026-04-07 06:27:18 | INFO | apt_detection.runtime.capture | Capture loop started.
2026-04-07 06:27:18 | INFO | apt_detection.runtime | Capture thread started.
2026-04-07 06:30:23 | INFO | apt_detection | Application initialized. DB=C:\Users\hungh\OneDrive\Máy tính\APT_Detection\data\alerts.db, queue_size=5000, reset_on_start=True
2026-04-07 06:30:23 | INFO | apt_detection.runtime | Worker thread started.
2026-04-07 06:30:23 | INFO | apt_detection.runtime.capture | Capture loop started.
2026-04-07 06:30:23 | INFO | apt_detection.runtime | Capture thread started.
